Creation Time,Marketplace Type,Body,Currency Code,Currency Amount,Billing Time Unit,Free Consultation included
Mon Apr 13 10:21:46 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:21:46 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:21:46 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:21:46 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:21:46 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:21:46 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:21:46 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:21:46 UTC 2020,SERVICE_MARKETPLACE,Throughout the last 10 years I have helped countless individuals with their career changes. From resume writing to interview skills I can absolutely put you on the right path.     As a business/life coach I suggest an initial free consult with me and we can get working on your goal of a career change etc. I look forward to hearing from you soon.     https://bookme.name/EndlessUpside,,,,true
Mon Apr 13 10:21:46 UTC 2020,SERVICE_MARKETPLACE,"A Certified High Performance Coach- As 1 of only 300 Certified High Performance Coaches™ in the world I guide individuals to advance further than they have before- beyond the norm of their typical results and experiences while ensuring they continuously grow and succeed by guiding them in reaching high performance in the following 6 core areas: Purpose, Psychology, Productivity, Persuasion, Physiology and Presence.    I help you gain clarity on the gaining the edge.  https://www.aliageconsulting.com/individual-clients-high-performance-coaching",,,,true
Mon Apr 13 10:21:46 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:22:00 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:22:00 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:22:00 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:22:00 UTC 2020,SERVICE_MARKETPLACE,"Hi, I’m Kelvin from Position Consultants. I am an International Coaching Federation Profesional Certified Coach who works specifically with corporate executives and mid-level managers. I’ve already helped nearly 300 executives, from all over the US, achieve success with my signature Positioned For Success customized coaching program! One thing that makes my program stand out from my competitors is that I personally do what I love, feel totally fulfilled by my choices, it produces consistent results AND my personal success is a direct reflection of applying these principles and techniques to my life. My program teaches you how to develop into the ideal leader, take control of your career, create the road map to your success, and helps you to truly transform your life.  Let’s set up your complimentary coaching session today so you can learn more.    https://calendly.com/positionedforsuccess/complimentary-consultation",,,,true
